building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
10158d2366b25365625d2b44b65ca071ddf7be5e79b895d3dcde1b8fec6080ef,2827510500102900004,0,0,0,2,False,5,
1023bab3561e083e0b910b02fbccbb03054e67b99dec09a323d1dba5812675e9,1150010300103920033,1,1,0,1,False,5,
1089f7f3b1155d0b95c65df4996b1449eb84bee3a015e0a0ba529a7f45168c08,4719011000105240000,1,12,0,4,False,4,
10b3945b739ff0fd6acf8de887047a6886dff983a4b34cfbad208c1115d7c2db,5211310700115570033,0,0,0,1,False,4,
10bc8f06da7226610ac4b9abc093409727359993d130a3f20187b52f7a529c8e,5011025321100310000,0,0,0,4,False,4,
11456d18a7220bf057a8442613ba49774fd6d06eaa956915376cdf71ee95fd6b,4165034021102110000,0,0,0,2,False,4,
11ca5347bf28cc6082dba0b712c52073f46d782dcac9e6467620e2b678a4e637,5213014500105730002,0,0,0,2,False,4,
121657f369158fc2f1c1e9d4b46bb7e13c907c51972a7431a2367c84413553df,3611025033101900013,0,0,0,1,False,4,
1240edf0fc84f473a6c22e6c8dc6eeac3efd61216550e5cce228c056524890ff,4125010600103040032,0,0,0,3,False,4,
125aa9a95445dbde0a3c03deae3e6eec9315e4555d036dbba1be14752a50e947,1153010900102940000,1,2,0,2,False,4,
125ff797ac3707f38ddfa9f578af91b65ed698a75cfaff05186334833d2ae26c,4831011000103070000,1,26,0,14,False,4,
1265e847a3afd3772017213192406b97231aecdefbb62ee4b15d6151489234e2,4113510800105520000,1,31,0,22,False,4,
130d56c1f6e6016e093014df763a726dbebc47721683a06fb894130a4b300d55,1227011500105600005,1,1,0,1,False,4,
13993005c5f1933533302cf37c9df91e160be94f55f7d865a16e52bd0b11cf16,4812914200109770001,0,0,0,7,False,4,
13e03e226abc6626a682be6beee93e5129d4efd020e02b5d7ecf3f530fa20413,1121510200102830024,0,0,0,1,False,4,
142ead65de2955c1550da769d931c29b50eccc04f0a649b780fe8753de48698f,4375025331100110009,0,0,0,2,False,4,
15474375509a1c3141984536dbbb976c5d656c3192727634ba00a27b2cdf75a8,4717013900101250001,0,0,0,1,False,4,
15c8ab51e497086cfb5e7f28d96879ac409c26466e5f8dcdc000007e51be58fb,4719010800100520000,1,2,0,2,False,4,
15ccdf3f1d05cae43a72158a062690d124007412639779aa37c40f984c66213d,4884025027109550000,1,2,0,2,False,4,
161a14b158c983bf906bb4ff07de74c9c2cf425a306330c95f32d3a89765dff8,4127110300112810007,0,0,0,1,False,4,
162dc402818fd290051d145dc937371553ce9be1e12b48b58b68b49d277975e4,4315011600108520000,0,0,0,6,False,4,
170ca9039d36ce901be40841c9bdb459420a65e15ced3f20e1cc221287203f16,2827510400107370011,0,0,0,1,False,4,
1764caae258d54707910edd3fb29641d3ea154a294ee5bcefb0aacb6dbc65df7,4113510700101850000,0,0,0,11,False,4,
17a4b9e9044980562099eea1a3bd8d5bd7438459d0e06dc1b3887102ad0f30c1,4413325023102580004,1,6,0,2,False,4,
183d035d1f2cadd069a416275597103611cbd2d3c7605fcac4a609abc32064dd,1227011400103580001,1,1,0,1,False,4,
184c81c99edddaf1cb46c3061c041f314eede7ea01830555fc083144d2bb1e9d,4127310200101080012,1,1,0,1,False,5,
1863f0fcf6db2c2ce8515e3453d03306781ef354aaa25d1eeb6acece98904988,1154510300100030123,1,1,0,1,False,4,
18a1d5483e16a10f3a2a971d7ef97b1a581e05ea4f5e6f49b0b333901e4645c2,1230010700112330017,1,1,0,1,False,4,
193565b32cb975bc3c45e590a202e254426b2d7d7a00d1d382f3d71736072dd7,5115033022106410106,0,0,0,1,False,4,
1961d6ad611e9a2491b707560da42f44f2910f3a628c9a712e5d584b1c770ac5,5013032025115120005,1,3,0,3,False,4,
19c7f479f59a1121826ddd814bf02d196052dffbc9882779ab1a561cb617d436,1159010200102790232,0,0,0,1,False,4,
